model,kernel,delta_ood,setting,qs,seed
gpc,linear,-0.11131042870173306,m1_hist_byteent__ms42__q1000_id500_ood500,7,42
gpc,matern15_med,-0.005677617576931082,m1_hist_byteent__ms42__q1000_id500_ood500,7,42
gpc,matern25_med,0.0011953721335872468,m1_hist_byteent__ms42__q1000_id500_ood500,7,42
gpc,poly2,-0.03956889792130067,m1_hist_byteent__ms42__q1000_id500_ood500,7,42
gpc,poly3,0.00969899665551841,m1_hist_byteent__ms42__q1000_id500_ood500,7,42
gpc,rbf_gscale,0.03670928613720377,m1_hist_byteent__ms42__q1000_id500_ood500,7,42
svc,laplacian_med,0.0003088444736042195,m1_hist_byteent__ms42__q1000_id500_ood500,7,42
svc,linear,-0.004167000048006919,m1_hist_byteent__ms42__q1000_id500_ood500,7,42
svc,matern15_med,-0.002737994271175026,m1_hist_byteent__ms42__q1000_id500_ood500,7,42
svc,matern25_med,-0.003952569169960474,m1_hist_byteent__ms42__q1000_id500_ood500,7,42
svc,poly2,-0.024859579779488182,m1_hist_byteent__ms42__q1000_id500_ood500,7,42
svc,poly3,0.024445120097293983,m1_hist_byteent__ms42__q1000_id500_ood500,7,42
svc,rbf_gscale,0.03562913059480566,m1_hist_byteent__ms42__q1000_id500_ood500,7,42
gpc,laplacian_med,-0.016349554335824367,m1_hist_byteent__ms42__q1000_id500_ood500,7,999
gpc,linear,-0.11131042870173306,m1_hist_byteent__ms42__q1000_id500_ood500,7,999
gpc,matern15_med,-0.005677617576931082,m1_hist_byteent__ms42__q1000_id500_ood500,7,999
gpc,matern25_med,0.0011953721335872468,m1_hist_byteent__ms42__q1000_id500_ood500,7,999
gpc,poly2,-0.03956889792130067,m1_hist_byteent__ms42__q1000_id500_ood500,7,999
