variant_name,master_seed,size_tag,family,dim,cfg,n_runs,drop_bal_acc_mean,drop_bal_acc_std
m1_hist_byteent,999,size_q1000_id500_ood500,quantum,8,pauli_xz_r1_full__d8,15,-0.02055357781822096,0.029653794074354797
m1_hist_byteent,999,size_q1000_id500_ood500,quantum,4,pauli_xz_r1_full__d4,15,-0.018248214007427887,0.028570618034693053
m1_hist_byteent,999,size_q1000_id500_ood500,quantum,6,pauli_xz_r1_full__d6,15,-0.01635061835716708,0.022130180617840247
m1_hist_byteent,999,size_q1000_id500_ood500,quantum,10,pauli_xz_r1_full__d10,15,-0.015284266728229875,0.027349848272171927
m1_hist_byteent,999,size_q1000_id500_ood500,quantum,8,zmap_r2__d8,15,-0.013190753028844293,0.019760650343108577
m1_hist_byteent,999,size_q1000_id500_ood500,quantum,4,zz_r1_full__d4,15,-0.012146003909869706,0.032158390311145826
m1_hist_byteent,999,size_q1000_id500_ood500,quantum,10,zmap_r2__d10,15,-0.011604797148135285,0.021441448598877397
m1_hist_byteent,999,size_q1000_id500_ood500,quantum,6,zmap_r2__d6,15,-0.009646450616034552,0.02001958770641397
m1_hist_byteent,999,size_q1000_id500_ood500,quantum,12,zmap_r2__d12,15,-0.009609176876307513,0.029469923451679855
m1_hist_byteent,999,size_q1000_id500_ood500,quantum,4,zz_r2_full__d4,15,0.0015316114640618439,0.023919242717459082
m1_hist_byteent,999,size_q1000_id500_ood500,quantum,6,zz_r1_full__d6,15,0.003515250309365858,0.02477202185352483
m1_hist_byteent,999,size_q1000_id500_ood500,quantum,8,zz_r1_full__d8,15,0.015680191655648358,0.01718527820103015
m1_hist_byteent,999,size_q1000_id500_ood500,quantum,6,zz_r2_full__d6,15,0.02291513497823714,0.034013262062461955
m1_hist_byteent,999,size_q1000_id500_ood500,quantum,10,zz_r1_full__d10,15,0.025928651862367657,0.021830994324167713
m1_hist_byteent,999,size_q1000_id500_ood500,quantum,12,zz_r1_full__d12,15,0.026663459326694006,0.028051661331505797
m1_hist_byteent,999,size_q1000_id500_ood500,quantum,8,zz_r2_full__d8,15,0.030703726777619254,0.01847773319246372
m1_hist_byteent,999,size_q1000_id500_ood500,quantum,10,zz_r2_full__d10,15,0.05659986230436185,0.03673316877355783
m1_hist_byteent,999,size_q1000_id500_ood500,quantum,12,zz_r2_full__d12,15,0.0761600023102948,0.027307034182548446
m1_hist_byteent,999,size_q2000_id1000_ood1000,classical,12,rbf_gscale,15,-0.030825027102142775,0.016643797951748075
m1_hist_byteent,999,size_q2000_id1000_ood1000,classical,8,rbf_gscale,15,-0.023895348475359915,0.013480140685200988
m1_hist_byteent,999,size_q2000_id1000_ood1000,classical,10,rbf_gscale,15,-0.018938799065866752,0.022171776597658843
m1_hist_byteent,999,size_q2000_id1000_ood1000,classical,6,rbf_gscale,15,-0.01838114517321021,0.01280145983598465
m1_hist_byteent,999,size_q2000_id1000_ood1000,classical,4,linear,15,-0.016983908051597055,0.058722644389031214
m1_hist_byteent,999,size_q2000_id1000_ood1000,classical,6,linear,15,-0.011358989149318936,0.04796256192257291
m1_hist_byteent,999,size_q2000_id1000_ood1000,classical,12,linear,15,-0.004162530230464571,0.04320046884889955
m1_hist_byteent,999,size_q2000_id1000_ood1000,classical,8,linear,15,0.0004546237176374183,0.03983714038117606
m1_hist_byteent,999,size_q2000_id1000_ood1000,classical,10,linear,15,0.01291489345306569,0.04339147354754993
m1_hist_byteent,999,size_q2000_id1000_ood1000,classical,4,rbf_gscale,15,0.027620325646678007,0.05617980495463614
