setting,qs,seed,group,quantum_ood_original,classical_ood_original,delta_original,quantum_ood_ablated,classical_ood_ablated,delta_ablated,delta,ablation_change,ms,size,dataset
unsw_recon__m2_centroid__ms123__q1000_id500_ood500,123,123,unsw_recon_m2_centroid,0.8774406247999489,0.9201896773574033,-0.042749052557454426,0.9168107035401064,0.9271797132065811,-0.010369009666474693,-0.010369009666474693,0.03238004289097973,123,1000,unsw
unsw_recon__m2_centroid__ms123__q1000_id500_ood500,123,999,unsw_recon_m2_centroid,0.8774406247999489,0.9201896773574033,-0.042749052557454426,0.9168107035401064,0.9271797132065811,-0.010369009666474693,-0.010369009666474693,0.03238004289097973,123,1000,unsw
unsw_recon__m2_centroid__ms123__q1000_id500_ood500,999,42,unsw_recon_m2_centroid,0.9143557343146992,0.9374235788376676,-0.023067844522968395,0.9333262770513426,0.9279346240901468,0.005391652961195814,0.005391652961195814,0.02845949748416421,123,1000,unsw
unsw_recon__m2_centroid__ms123__q1000_id500_ood500,999,123,unsw_recon_m2_centroid,0.9143557343146992,0.9374235788376676,-0.023067844522968395,0.9333262770513426,0.9279346240901468,0.005391652961195814,0.005391652961195814,0.02845949748416421,123,1000,unsw
unsw_recon__m2_centroid__ms123__q1000_id500_ood500,999,999,unsw_recon_m2_centroid,0.9143557343146992,0.9374235788376676,-0.023067844522968395,0.9333262770513426,0.9279346240901468,0.005391652961195814,0.005391652961195814,0.02845949748416421,123,1000,unsw
unsw_recon__m2_centroid__ms123__q1000_id500_ood500,2024,42,unsw_recon_m2_centroid,0.8959699640664529,0.9104501909473245,-0.014480226880871583,0.911713047261477,0.9194622166003319,-0.007749169338854944,-0.007749169338854944,0.0067310575420166385,123,1000,unsw
unsw_recon__m2_centroid__ms123__q1000_id500_ood500,2024,123,unsw_recon_m2_centroid,0.8959699640664529,0.9104501909473245,-0.014480226880871583,0.911713047261477,0.9194598366070997,-0.007746789345622784,-0.007746789345622784,0.0067334375352487985,123,1000,unsw
unsw_recon__m2_centroid__ms123__q1000_id500_ood500,2024,999,unsw_recon_m2_centroid,0.8959699640664529,0.9104501909473245,-0.014480226880871583,0.911713047261477,0.9194598366070997,-0.007746789345622784,-0.007746789345622784,0.0067334375352487985,123,1000,unsw
unsw_recon__m2_centroid__ms42__q1000_id500_ood500,7,42,unsw_recon_m2_centroid,0.8781928173612445,0.9136647109660072,-0.03547189360476266,0.835637923308367,0.8926710933999104,-0.057033170091543406,-0.057033170091543406,-0.021561276486780745,42,1000,unsw
unsw_recon__m2_centroid__ms42__q1000_id500_ood500,7,123,unsw_recon_m2_centroid,0.8781928173612445,0.9136647109660072,-0.03547189360476266,0.835637923308367,0.8926710933999104,-0.057033170091543406,-0.057033170091543406,-0.021561276486780745,42,1000,unsw
unsw_recon__m2_centroid__ms42__q1000_id500_ood500,7,999,unsw_recon_m2_centroid,0.8781928173612445,0.9136647109660072,-0.03547189360476266,0.835637923308367,0.8926710933999104,-0.057033170091543406,-0.057033170091543406,-0.021561276486780745,42,1000,unsw
unsw_recon__m2_centroid__ms42__q1000_id500_ood500,42,42,unsw_recon_m2_centroid,0.9060064961039376,0.9187962783404535,-0.012789782236515945,0.9021984351749628,0.9118395718331492,-0.009641136658186444,-0.009641136658186444,0.003148645578329501,42,1000,unsw
unsw_recon__m2_centroid__ms42__q1000_id500_ood500,42,123,unsw_recon_m2_centroid,0.9060064961039376,0.9187962783404535,-0.012789782236515945,0.9021984351749628,0.9118395718331492,-0.009641136658186444,-0.009641136658186444,0.003148645578329501,42,1000,unsw
