group,setting,model,scheme,budget,delta_median,delta_p2.5,delta_p97.5,frac_lt0
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q2000_id1000_ood1000,svc,kernel_blocked,20,0.011831683605358134,0.0020221866597458504,0.012275898605418,0.0
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q4000_id1800_ood1800,svc,kernel_blocked,20,-0.02020885870419653,-0.02020885870419653,-0.005061388840942757,0.975
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms999__q1000_id500_ood500,svc,kernel_blocked,20,0.03645077643346617,-0.009784926959742646,0.08088398520032503,0.1598
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms999__q2000_id1000_ood1000,svc,kernel_blocked,20,-0.000766098811387117,-0.0025308046937401185,0.08913184431660937,0.5902
unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms999__q4000_id1800_ood1800,svc,kernel_blocked,20,-0.026559249520608952,-0.033427199518537454,-0.026552895218078514,1.0
unsw_dos_natural_cur,unsw_dos__natural_cur__ms123__q1000_id500_ood500,svc,uniform,60,0.0015481494586296884,-0.00912646583837129,0.010867253994919184,0.448
unsw_dos_natural_cur,unsw_dos__natural_cur__ms123__q2000_id1000_ood1000,svc,uniform,60,-0.004817968121411109,-0.012705411594861639,0.004567842318203025,0.9224
unsw_dos_natural_cur,unsw_dos__natural_cur__ms123__q4000_id1800_ood1800,svc,uniform,60,-0.019216997267196945,-0.02569716421947288,0.005683613325618064,0.8718
unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500,svc,uniform,60,-0.011100867323867725,-0.01836906563009144,-0.0028690953451711333,0.997
unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q2000_id1000_ood1000,svc,uniform,60,-0.013747447649350542,-0.021645213623072923,-0.005144822263587617,0.9974
unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q4000_id1800_ood1800,svc,uniform,60,-0.0056054463019651335,-0.011355332369754834,0.0022110769740610004,0.9078
unsw_dos_natural_cur,unsw_dos__natural_cur__ms999__q1000_id500_ood500,svc,uniform,60,-0.014880495151713524,-0.021392935274112124,-0.0003813071901701445,0.9778
unsw_dos_natural_cur,unsw_dos__natural_cur__ms999__q2000_id1000_ood1000,svc,uniform,60,-0.009127779857601714,-0.016016625269396734,0.0059807176997227485,0.8926
unsw_dos_natural_cur,unsw_dos__natural_cur__ms999__q4000_id1800_ood1800,svc,uniform,60,-0.005568427275610022,-0.012244725469268025,0.01070514971141634,0.856
unsw_dos_natural_cur,unsw_dos__natural_cur__ms123__q1000_id500_ood500,svc,kernel_stratified,60,0.0013202748559250077,-0.00912646583837129,0.008994142078588618,0.4472
unsw_dos_natural_cur,unsw_dos__natural_cur__ms123__q2000_id1000_ood1000,svc,kernel_stratified,60,-0.004817968121411109,-0.012410558465728805,0.0021540777654032173,0.9318
unsw_dos_natural_cur,unsw_dos__natural_cur__ms123__q4000_id1800_ood1800,svc,kernel_stratified,60,-0.019216997267196945,-0.02569716421947288,0.003219355322795381,0.889
unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500,svc,kernel_stratified,60,-0.011077532961379366,-0.018210705753636147,-0.0028135618226525745,0.995
unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q2000_id1000_ood1000,svc,kernel_stratified,60,-0.014447071912940368,-0.021645213623072923,-0.005352261999728158,0.9994
unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q4000_id1800_ood1800,svc,kernel_stratified,60,-0.0056054463019651335,-0.011357602462084301,0.001413602480263898,0.9144
unsw_dos_natural_cur,unsw_dos__natural_cur__ms999__q1000_id500_ood500,svc,kernel_stratified,60,-0.01417794260871652,-0.020368530398886753,-0.0009860211381687023,0.9832
